"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00129905","YOUNG AMERICA, IN US","1992-06-01",,,,"0.00","0.0","0.0","72","47","53",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-02",,,,"0.00","0.0","0.0","75","50","58",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-03",,,,"0.00","0.0","0.0","78","54","56",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-04",,,,"0.10","0.0","0.0","80","56","63",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-05",,,,"0.00","0.0","0.0","80","58","61",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-06",,,,"0.00","0.0","0.0","76","53","56",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-07",,,,"0.05","0.0","0.0","84","56","65",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-08",,,,"0.00","0.0","0.0","76","47","55",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-09",,,,"0.00","0.0","0.0","76","55","60",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-10",,,,"0.00","0.0","0.0","79","54","57",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-11",,,,"0.00","0.0","0.0","79","51","64",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-12",,,,"0.00","0.0","0.0","81","51","58",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-13",,,,"0.00","0.0","0.0","86","58","69",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-14",,,,"0.14","0.0","0.0","84","60","65",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-15",,,,"0.00","0.0","0.0","84","62","63",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-16",,,,"0.00","0.0","0.0","80","58","59",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-17",,,,"0.00","0.0","0.0","88","59","77",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-18",,,,,"0.0","0.0","97","69","69",,"    1",,"    1",,"    1"
"USC00129905","YOUNG AMERICA, IN US","1992-06-19",,,,"0.00","0.0","0.0","82","58","58",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-20",,,,"0.00","0.0","0.0","65","48","51",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-21",,,,"0.00","0.0","0.0","61","38","44",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-22",,,,"0.00","0.0","0.0","63","35","42",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-23",,,,"0.16","0.0","0.0","66","42","55",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-24",,,,"0.00","0.0","0.0","77","53","59",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-25",,,,"0.00","0.0","0.0","80","53","57",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-26",,,,"0.00","0.0","0.0","78","57","59",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-27",,,,"0.00","0.0","0.0","77","46","55",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-28",,,,"0.00","0.0","0.0","74","41","49",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-29",,,,"0.00","0.0","0.0",,,,,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-06-30",,,,"0.00","0.0","0.0",,,,,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-01",,,,,"0.0","0.0",,,,,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-02",,,,,"0.0","0.0",,,,,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-03",,,,,"0.0","0.0",,,,,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-04",,,,,"0.0","0.0",,,,,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-05",,,,,"0.0","0.0",,,,,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-06",,,,,"0.0","0.0",,,,,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-07",,,,,"0.0","0.0",,,,,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-08","    8","0.26",,,"0.0","0.0","69","59","69",,"    1",,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-09",,,,"0.02","0.0","0.0","84","67","68",,"    1",,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-10",,,,"0.34","0.0","0.0","83","65","68",,"    1",,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-11",,,,"0.00","0.0","0.0","80","65","71",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-12",,,,"1.86","0.0","0.0","83","67","69",,"    1",,,,
"USC00129905","YOUNG AMERICA, IN US","1992-07-13",,,,"1.69","0.0","0.0","84","69","72",,"    1",,,,
